sensor_id;sensor_type;location;lat;lon;timestamp;temperature;humidity
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:00:09;7.60;95.30
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:02:41;7.60;95.50
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:05:10;7.60;95.30
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:07:39;7.60;95.20
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:10:09;7.60;95.40
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:12:39;7.60;95.40
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:15:09;7.50;95.10
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:17:40;7.50;95.30
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:20:09;7.50;95.50
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:22:39;7.70;95.60
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:25:09;7.70;96.40
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:27:39;7.60;96.80
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:30:09;7.50;97.00
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:32:39;7.50;96.80
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:35:13;7.30;97.30
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:37:43;7.30;97.40
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:40:12;7.20;97.90
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:42:41;7.20;98.30
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:45:11;7.20;98.40
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:47:41;7.20;98.60
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:50:13;7.10;98.80
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:52:44;7.10;98.90
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:55:14;7.10;99.10
22619;DHT22;11476;57.158;-2.106;2019-05-08T00:57:51;7.10;98.80
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:00:20;7.10;99.00
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:02:50;7.10;98.40
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:05:20;7.10;98.40
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:07:49;7.10;98.10
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:10:19;7.10;98.00
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:12:49;7.00;98.10
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:15:19;7.00;98.20
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:17:49;7.00;98.10
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:20:19;7.00;97.90
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:22:49;7.00;98.00
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:25:18;7.00;98.40
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:27:48;7.10;97.90
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:30:19;7.00;98.30
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:35:40;7.00;99.20
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:38:11;6.90;99.30
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:40:41;6.90;99.30
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:43:14;6.90;99.40
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:45:43;6.90;99.00
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:48:12;6.90;99.20
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:50:41;6.80;99.40
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:53:09;6.90;99.20
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:55:39;6.90;99.60
22619;DHT22;11476;57.158;-2.106;2019-05-08T01:58:10;6.90;99.60
22619;DHT22;11476;57.158;-2.106;2019-05-08T02:00:42;6.90;99.80
22619;DHT22;11476;57.158;-2.106;2019-05-08T02:03:12;7.00;98.80
22619;DHT22;11476;57.158;-2.106;2019-05-08T02:05:41;7.00;99.70
22619;DHT22;11476;57.158;-2.106;2019-05-08T02:08:09;7.10;98.80
22619;DHT22;11476;57.158;-2.106;2019-05-08T02:10:39;7.10;99.20
22619;DHT22;11476;57.158;-2.106;2019-05-08T02:13:12;7.20;98.20
22619;DHT22;11476;57.158;-2.106;2019-05-08T02:15:41;7.20;97.60
22619;DHT22;11476;57.158;-2.106;2019-05-08T02:18:10;7.20;97.00
22619;DHT22;11476;57.158;-2.106;2019-05-08T02:20:39;7.30;96.80
22619;DHT22;11476;57.158;-2.106;2019-05-08T02:23:19;7.30;96.40
22619;DHT22;11476;57.158;-2.106;2019-05-08T02:25:59;7.30;96.10
22619;DHT22;11476;57.158;-2.106;2019-05-08T02:28:29;7.20;96.80
22619;DHT22;11476;57.158;-2.106;2019-05-08T02:31:00;7.40;96.30
22619;DHT22;11476;57.158;-2.106;2019-05-08T02:33:30;7.30;97.10
