sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:01:11;5.27;;;1.10;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:03:58;3.10;;;0.47;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:06:45;3.03;;;0.80;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:09:32;5.20;;;0.70;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:12:00;0.30;;;0.30;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:14:41;2.37;;;0.60;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:17:11;4.50;;;0.80;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:19:42;5.03;;;0.80;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:22:11;1.60;;;0.47;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:24:41;2.10;;;0.37;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:27:10;2.00;;;0.60;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:29:38;3.60;;;0.70;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:32:07;0.30;;;0.30;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:34:36;1.27;;;0.50;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:37:05;2.47;;;0.77;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:39:34;1.67;;;0.80;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:42:02;0.90;;;0.53;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:44:31;2.37;;;0.43;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:47:00;3.70;;;0.43;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:49:29;1.63;;;0.70;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:51:58;3.53;;;0.40;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:54:27;5.27;;;0.43;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:56:56;1.60;;;0.60;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T00:59:24;1.90;;;0.50;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:01:53;0.43;;;0.40;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:04:22;5.60;;;1.07;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:06:51;4.93;;;0.90;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:09:21;7.87;;;1.07;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:11:50;2.33;;;0.80;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:14:19;2.57;;;0.80;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:16:47;0.70;;;0.70;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:19:16;5.27;;;1.30;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:21:45;0.90;;;0.60;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:24:14;2.10;;;1.03;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:26:43;3.40;;;0.90;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:29:12;1.63;;;0.40;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:31:41;1.30;;;0.40;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:34:10;2.13;;;0.80;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:36:40;1.90;;;0.77;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:39:09;4.17;;;0.60;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:41:37;3.10;;;0.67;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:44:06;2.40;;;0.30;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:46:35;4.77;;;0.57;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:49:04;2.00;;;0.30;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:51:32;2.77;;;0.40;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:54:01;7.63;;;0.50;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:56:30;2.00;;;0.47;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T01:58:59;3.63;;;0.40;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T02:01:27;0.70;;;0.40;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T02:03:56;4.00;;;0.70;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T02:06:25;2.07;;;0.37;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T02:08:54;2.00;;;0.83;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T02:11:23;2.93;;;0.70;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T02:13:51;4.93;;;0.40;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T02:16:20;3.40;;;0.50;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T02:18:49;1.87;;;0.40;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T02:21:18;2.10;;;0.40;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T02:23:46;3.70;;;0.77;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T02:26:15;2.17;;;0.50;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T02:28:46;1.90;;;0.60;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T02:31:14;3.87;;;0.93;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T02:33:45;1.53;;;0.47;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T02:36:14;2.73;;;0.40;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T02:38:42;2.57;;;0.60;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T02:41:12;3.83;;;0.90;;
22549;SDS011;11441;57.164;-2.120;2019-05-10T02:43:41;1.80;;;0.43;;
